id,name,post_count,tags,copyright_tags,clothing_tags,avg_score,avg_fav_count
395218,inubashiri_momiji,23566,"red eyes, short hair, tail, white hair, wolf tail, messy hair","inubashiri momiji, touhou","breasts, detached sleeves, hat, shirt, skirt, long skirt, red hat, turtleneck, sandals, socks",10.47,8.33
390427,kagamine_rin,22233,"blonde hair, blue eyes, short hair, swept bangs, aqua eyes, medium hair","kagamine rin, vocaloid","bow, breasts, hair bow, hair ornament, hairclip, headphones, neckerchief, sailor collar, shirt, sleeveless shirt, headset, detached sleeves, shorts, ribbon",8.32,7.68
1631074,kaga_(kancolle),21685,"black hair, hair between eyes, side ponytail, brown eyes, large breasts, brown hair, long hair","kaga (kancolle), kantai collection","breasts, japanese clothes, kimono, muneate, tasuki, skirt, hakama, hakama short skirt, hakama skirt, thighhighs",27.7,26.05
12250,yakumo_ran,20789,"blonde hair, fox tail, large breasts, multiple tails, short hair, tail, yellow eyes, hair between eyes","yakumo ran, touhou","breasts, dress, hat, long sleeves, tabard, white dress, white hat, wide sleeves",23.96,21.77
602257,konpaku_youmu_(ghost),20159,"blue eyes, short hair, white hair, grey hair, green eyes, blunt bangs","konpaku youmu (ghost), touhou","bow, bowtie, collared shirt, hairband, ribbon, shirt, shoes, short sleeves, skirt, socks, vest, long sleeves, frills, breasts, mary janes",11.72,11.34
427145,kaenbyou_rin,20127,"cat tail, multiple tails, red eyes, tail, braid, long hair, red hair, twin braids, large breasts, blunt bangs","kaenbyou rin, touhou","bow, frills, long sleeves, dress, green dress, black dress, breasts, juliet sleeves, puffy sleeves, hair bow, ribbon, shoes",16.88,14.96
384842,moriya_suwako,19601,"blonde hair, medium hair, short hair, yellow eyes, parted bangs, sidelocks, long hair","moriya suwako, touhou","long sleeves, brown hat, hat, skirt, thighhighs, vest, hair ribbon, ribbon, shirt, breasts, turtleneck, wide sleeves",14.82,13.67
1275729,shimakaze_(kancolle),19370,"blonde hair, grey eyes, hair between eyes, long hair, very long hair, blue eyes, small breasts","shimakaze (kancolle), kantai collection","black panties, gloves, hair ornament, hairband, miniskirt, neckerchief, panties, sailor collar, shirt, skirt, sleeveless shirt, thighhighs, white gloves, breasts, microskirt, pleated skirt, school uniform, crop top, thong",33.49,30.96
1602203,ganyu_(genshin_impact),18943,"ahoge, blue hair, hair between eyes, large breasts, long hair, purple eyes, very long hair, medium breasts, sidelocks, ponytail","ganyu (genshin impact), genshin impact","bodystocking, breasts, bell, detached sleeves, gloves, gold trim, neck bell, black gloves, bodysuit, pantyhose, halterneck",43.37,39.91
1613000,warrior_of_light_(ff14),18934,"braid, dragon tail, multicolored hair, tail, two-tone hair, grey hair, purple eyes, short hair, black hair, long hair, red eyes, cat tail, white hair, blonde hair, brown hair, green eyes, large breasts, blue eyes, ponytail","warrior of light (ff14), final fantasy, final fantasy xiv","breasts, jacket, long sleeves, shirt, bow, dress, flower, gloves, thighhighs, panties, shorts, hair ornament, hat",14.48,13.8
474,chen,18790,"brown eyes, brown hair, cat tail, multiple tails, short hair, tail, hair between eyes","chen, touhou","dress, bow, bowtie, earrings, frills, hat, long sleeves, skirt, vest, gold trim, green hat, puffy sleeves, red dress, frilled sleeves, juliet sleeves, ribbon, socks",8.57,7.24
427184,reiuji_utsuho,18711,"black hair, long hair, red eyes, large breasts, brown hair","reiuji utsuho, touhou","bow, breasts, cape, hair bow, puffy short sleeves, puffy sleeves, shirt, short sleeves, skirt, collared shirt, frills",16.52,14.12
1213183,saber_(fate),18479,"short hair, ahoge, blonde hair, green eyes, hair bun, braid, braided bun, sidelocks","saber (fate), fate/stay night, fate (series), fate/grand order","ribbon, shirt, armor, hair ribbon, long sleeves, blue dress, breasts, dress, juliet sleeves, puffy sleeves, armored dress",27.86,24.89
1414209,mash_kyrielight,18282,"glasses, large breasts, purple eyes, purple hair, tail, hair over one eye, pink hair, short hair, medium breasts, long hair","mash kyrielight, fate/grand order, fate (series)","breasts, glasses, fur collar, fur trim, gloves, purple gloves, thighhighs, panties, revealing clothes, armor, dress, necktie, boots, leotard",33.13,30.59
1581467,lumine_(genshin_impact),17689,"blonde hair, large breasts, sidelocks, yellow eyes, medium breasts, hair between eyes","lumine (genshin impact), genshin impact","breasts, detached sleeves, dress, flower, hair flower, hair ornament, white dress, gloves",32.85,31.18
1275718,hibiki_(kancolle),17191,"blue eyes, blue hair, hair between eyes, long hair, very long hair, white hair, grey hair, sidelocks","hibiki (kancolle), kantai collection","hat, long sleeves, neckerchief, pleated skirt, sailor collar, school uniform, serafuku, skirt, thighhighs, black hat, shirt",16.25,14.92
473327,tatara_kogasa,17064,"blue eyes, blue hair, heterochromia, red eyes, short hair, large breasts","tatara kogasa, touhou","geta, juliet sleeves, long sleeves, puffy sleeves, shirt, skirt, vest, breasts",17.64,15.5
383392,kawashiro_nitori,16994,"blue eyes, blue hair, large breasts, short hair, two side up, medium hair","kawashiro nitori, touhou","backpack, boots, breasts, collared shirt, green hat, hair bobbles, hair ornament, hat, shirt, skirt, long sleeves",18.91,17.39
1275728,shigure_(kancolle),16808,"ahoge, blue eyes, braid, brown hair, hair flaps, hair over shoulder, long hair, medium breasts, single braid, black hair, hair between eyes, large breasts","shigure (kancolle), kantai collection","breasts, hair ornament, swimsuit, black gloves, gloves, neckerchief, pleated skirt, school uniform, serafuku, skirt, shirt, sleeveless shirt, sailor collar, necktie, red necktie",16.32,14.6
6313,link,16682,"blonde hair, blue eyes, ponytail, short hair, sidelocks, long hair, medium hair","link, the legend of zelda, the legend of zelda: breath of the wild, the legend of zelda: tears of the kingdom","shirt, boots, earrings, gloves, pants, tunic, green hat, hat, long sleeves",9.26,8.59
1686237,raiden_shogun,16640,"braid, large breasts, long hair, low-braided long hair, low-tied long hair, purple eyes, purple hair, blunt bangs, single braid, multicolored hair, very long hair","raiden shogun, genshin impact","breasts, flower, hair ornament, japanese clothes, kimono, sash, armor, hair flower, neck ribbon, ribbon, wide sleeves, clothing cutout, thighhighs",37.09,34.77
12302,kamishirasawa_keine,16615,"green hair, long hair, red eyes, very long hair, blue hair, spiked hair","kamishirasawa keine, touhou","dress, green dress, blue dress, blue hat, breasts, hat, puffy short sleeves, puffy sleeves, short sleeves, ascot, socks",10.24,9.34
415326,hinanawi_tenshi,16387,"blue hair, long hair, red eyes, hair between eyes, very long hair","hinanawi tenshi, touhou","black hat, boots, bow, bowtie, hat, peach hat ornament, shirt, short sleeves, collared shirt, frills, hat ornament, leaf hat ornament, skirt, puffy short sleeves, puffy sleeves, breasts",18.16,15.87
604258,sakura_kyoko,16263,"long hair, ponytail, red eyes, red hair, very long hair","sakura kyoko, mahou shoujo madoka magica, mahou shoujo madoka magica (anime)","boots, bow, hair bow, knee boots, miniskirt, pleated skirt, skirt, clothing cutout, collared dress, detached sleeves, dress, gem, red dress, breasts, shirt, frills, sleeveless dress, thighhighs, long sleeves",13.39,12.69
593108,tomoe_mami,16016,"blonde hair, drill hair, long hair, twin drills, yellow eyes, large breasts, twintails","tomoe mami, mahou shoujo madoka magica, mahou shoujo madoka magica (anime)","black hat, bow, bowtie, collared shirt, hat, puffy short sleeves, puffy sleeves, shirt, short sleeves, breasts, corset, long sleeves, skirt, thighhighs, black gloves, boots, detached sleeves, gloves, pleated skirt, ribbon, hair ornament",18.41,17.33
1658781,scaramouche_(genshin_impact),15841,"black hair, blunt ends, purple eyes, wispy bangs, purple hair, white pupils","scaramouche (genshin impact), genshin impact","armor, bodysuit, japanese clothes, kimono, open clothes, sash, short sleeves, hat, cape, gem, white trim, bow, layered sleeves, middle ring, tassel, furisode, shorts, leggings",1.73,1.69
12306,houraisan_kaguya,15678,"black hair, hime cut, long hair, red eyes, blunt bangs, very long hair","houraisan kaguya, touhou","long sleeves, shirt, bow, bowtie, collared shirt, frills, long skirt, skirt, wide sleeves, breasts, frilled sleeves, sleeves past wrists",14.54,13.11
475833,souryuu_asuka_langley,15463,"hair between eyes, long hair, two side up, very long hair, blue eyes, brown hair, small breasts, medium breasts, orange hair","souryuu asuka langley, neon genesis evangelion, evangelion: 3.0 you can (not) redo, rebuild of evangelion","breasts, bodysuit, mecha pilot suit",24.41,20.8
1593594,gawr_gura,15170,"blue eyes, fish tail, tail, blue hair, blunt bangs, grey hair, long hair, multicolored hair, streaked hair, two side up, medium hair, white hair","gawr gura, hololive, hololive english","hood, hair ornament, hoodie, long sleeves, swimsuit, animal costume, bikini, breasts",36.56,34.4
1533309,houshou_marine,15148,"large breasts, long hair, red hair, twintails, heterochromia, red eyes, yellow eyes","houshou marine, hololive","breasts, cropped jacket, jacket, leotard, pleated skirt, see-through clothes, skirt, sleeveless jacket, thighhighs, swimsuit, ascot, black hat, frills, hair ribbon, hat, ribbon, bikini, gloves, white gloves",28.31,26.82
1799,koakuma,15049,"hair between eyes, long hair, red eyes, red hair, medium breasts","koakuma, touhou","breasts, long sleeves, necktie, red necktie, black dress, boots, collared shirt, dress, shirt, vest, skirt",16.13,14.69
1391753,fujimaru_ritsuka_(male),14971,"black hair, blue eyes, short hair, hair between eyes, long hair, twintails, very long hair, large breasts, hair over one eye","fujimaru ritsuka (male), fate/grand order, fate (series)","black gloves, gloves, jacket, pants, shirt, long sleeves, breasts, bow, hair ribbon, ribbon, dress, skirt, bowtie",26.97,24.93
12313,ibuki_suika,14532,"blunt bangs, long hair, orange hair, sidelocks, very long hair, blonde hair, yellow eyes, orange eyes","ibuki suika, touhou","bow, hair bow, horn ornament, ribbon, shirt, skirt, sleeveless shirt, breasts, bowtie",13.6,12.06
393597,kagamine_len,14466,"ahoge, blonde hair, hair between eyes, short hair, blue eyes, aqua eyes, ponytail, short ponytail","kagamine len, vocaloid","shorts, necktie, sailor collar, shirt, yellow necktie, long sleeves, headphones",8.55,7.76
1625332,yuuka_(blue_archive),14456,"long hair, purple eyes, purple hair, two side up, blue hair, blue eyes, large breasts","yuuka (blue archive), blue archive","breasts, jacket, long sleeves, shirt, hair ornament, black gloves, blue necktie, gloves, necktie, skirt, collared shirt",42.18,39.6
12303,inaba_tewi,14397,"black hair, rabbit tail, red eyes, short hair, tail, small breasts, hair between eyes, brown hair, medium hair","inaba tewi, touhou","dress, necklace, pink dress, short sleeves, breasts, frilled sleeves, frills, puffy short sleeves, puffy sleeves, ribbon trim",25.35,23.7
2075918,inkling_player_character,14341,"long hair, tentacle hair, blue hair, blue eyes, blunt bangs","inkling player character, splatoon (series), splatoon 3","shoes, shirt, shorts, hat, long sleeves",6.21,5.28
1964304,gotoh_hitori,14155,"long hair, pink hair, blue eyes, hair between eyes, one side up, large breasts, very long hair","gotoh hitori, bocchi the rock!","hair ornament, skirt, breasts, jacket, long sleeves",22.93,21.12
473267,nazrin,14108,"grey hair, mouse tail, prehensile tail, short hair, small breasts, tail, red eyes","nazrin, touhou","black dress, breasts, capelet, dress, long sleeves, necklace, pendant, shirt",4.54,2.88
2040387,doodle_sensei_(blue_archive),13936,"long hair, pink hair, small breasts, very long hair, blonde hair, blue eyes, black hair, large breasts, red eyes, yellow eyes, twintails","doodle sensei (blue archive), blue archive","breasts, long sleeves, shirt, skirt, puffy sleeves, gloves, hair ornament, hat",42.24,39.56
1622755,asuna_(blue_archive),13812,"blonde hair, blue eyes, hair over one eye, large breasts, long hair, very long hair","asuna (blue archive), blue archive","breasts, collarbone, hair ribbon, ribbon, shirt, skirt, gloves, bow, bowtie, pleated skirt",60.98,56.27
1391754,fujimaru_ritsuka_(female),13766,"ahoge, medium breasts, one side up, orange eyes, orange hair, short hair, medium hair, large breasts, hair between eyes","fujimaru ritsuka (female), fate/grand order, fate (series)","breasts, dress, gloves, long sleeves, skirt, hair ornament, hair scrunchie, shirt, jacket",28.55,26.06
1350122,kongou_(kancolle),13745,"ahoge, brown hair, double bun, hair bun, long hair, large breasts, purple eyes","kongou (kancolle), kantai collection","detached sleeves, hairband, japanese clothes, nontraditional miko, ribbon-trimmed sleeves, ribbon trim, breasts, skirt",29.05,26.64
3861,pikachu,13585,"brown eyes, short hair, tail, white pupils, blonde hair, long hair, dot nose, black eyes","pikachu, pokemon, pokemon tcg","breasts, shirt, hat, jacket, long sleeves, gloves, shoes",10.21,9.49
503349,hijiri_byakuren,13458,"blonde hair, gradient hair, long hair, multicolored hair, purple hair, very long hair, purple eyes, two-tone hair, yellow eyes, large breasts","hijiri byakuren, touhou","bead necklace, beads, breasts, dress, hat, necklace, prayer beads, black dress, boots, long sleeves, white dress, puffy short sleeves, puffy sleeves, short sleeves",17.66,15.99
94496,princess_zelda,13367,"blonde hair, braid, crown braid, green eyes, long hair, short hair, blue eyes, large breasts, sidelocks, medium breasts","princess zelda, the legend of zelda, the legend of zelda: breath of the wild, the legend of zelda: tears of the kingdom","gloves, shirt, breasts, hair ornament, hairclip, dress, earrings, white dress",18.34,17.38
1473623,tamamo_(fate),13278,"fox tail, large breasts, long hair, pink hair, tail, yellow eyes, hair between eyes, ponytail, sidelocks, glasses, twintails","tamamo (fate), fate/grand order, fate (series), fate/extra","bow, breasts, hair bow, japanese clothes, kimono, gloves, glasses, long sleeves",36.57,33.62
1275720,inazuma_(kancolle),13234,"brown hair, folded ponytail, brown eyes, long hair, hair between eyes","inazuma (kancolle), kantai collection","long sleeves, neckerchief, pleated skirt, sailor collar, school uniform, serafuku, skirt, shirt, socks",15.69,13.94
445942,gardevoir,13156,"bob cut, flat chest, hair over one eye, red eyes, short hair, green hair","gardevoir, pokemon","collarbone, dress, breasts",10.37,8.85
391888,tifa_lockhart,13061,"black hair, long hair, red eyes, swept bangs, large breasts, low-tied long hair, very long hair","tifa lockhart, final fantasy, final fantasy vii, final fantasy vii remake","collarbone, earrings, sports bra, tank top, black gloves, breasts, crop top, gloves, skirt, suspender skirt, miniskirt, thighhighs, shirt",23.87,22.49
1799218,trailblazer_(honkai:_star_rail),12868,"grey hair, long hair, medium breasts, yellow eyes, hair between eyes, large breasts, medium hair","trailblazer (honkai: star rail), honkai: star rail, honkai (series)","breasts, shirt, black gloves, gloves, jacket, open clothes, collarbone",40.95,38.98
503343,houjuu_nue,12847,"ahoge, black hair, red eyes, short hair, medium hair","houjuu nue, touhou","black dress, dress, frills, short sleeves, thighhighs, bow, bowtie, breasts, shoes",18.35,16.96
1635696,hu_tao_(genshin_impact),12827,"brown hair, long hair, red eyes, flower-shaped pupils, hair between eyes, symbol-shaped pupils, twintails, very long hair","hu tao (genshin impact), genshin impact","black hat, chinese clothes, flower, hat, hat flower, long sleeves, shorts, ring, shirt, breasts",54.08,50.97
1630449,akagi_(kancolle),12730,"brown eyes, brown hair, hair between eyes, long hair, straight hair, black hair, large breasts","akagi (kancolle), kantai collection","hakama, hakama short skirt, hakama skirt, japanese clothes, muneate, skirt, tasuki, thighhighs, breasts, gloves",25.09,22.91
1605761,hina_(blue_archive),12625,"ahoge, long hair, small breasts, white hair, purple eyes, very long hair, parted bangs","hina (blue archive), blue archive","breasts, thighhighs, skirt, shirt",30.27,28.7
1479739,jeanne_d'arc_alter_(fate),12442,"ahoge, large breasts, short hair, white hair, yellow eyes, grey hair, long hair, hair between eyes, very long hair","jeanne d'arc alter (fate), fate/grand order, fate (series)","bikini, breasts, swimsuit, armor, armored dress, dress, fur trim, headpiece, thighhighs, long sleeves",37.28,34.02
1479836,shirakami_fubuki,12344,"ahoge, braid, fox tail, hair between eyes, long hair, sidelocks, single braid, tail, white hair, aqua eyes, side braid, blue eyes, medium breasts, green eyes","shirakami fubuki, hololive","earrings, breasts, shirt, swimsuit, detached sleeves, neckerchief, shorts, thighhighs, bikini, hood, hoodie",29.55,27.71
457810,megurine_luka,12327,"long hair, pink hair, blue eyes, very long hair, hair between eyes","megurine luka, vocaloid","breasts, dress, flower, detached sleeves, headphones, shirt, skirt, thighhighs",8.93,8.49
1511608,inkling_girl,12233,"long hair, tentacle hair, blue hair, blue eyes, blunt bangs","inkling girl, splatoon (series), splatoon 3","shoes, shirt, shorts, hat, jacket, long sleeves",6.45,5.5
1525565,hoshimachi_suisei,12180,"blue eyes, blue hair, hair between eyes, side ponytail, small breasts, long hair","hoshimachi suisei, hololive","breasts, hair ribbon, ribbon, bikini, swimsuit, bow, hat",50.65,47.58
384841,yasaka_kanako,12082,"purple hair, red eyes, short hair, medium hair, large breasts","yasaka kanako, touhou","breasts, hair ornament, skirt, long skirt, sandals, layered sleeves, long sleeves, shirt, short over long sleeves, short sleeves",17.5,15.52
12305,yagokoro_eirin,11997,"blue eyes, braid, grey hair, long hair, single braid, very long hair, white hair, curtained hair, grey eyes, large breasts, sidelocks","yagokoro eirin, touhou","breasts, dress, hat, blue dress, red dress, short sleeves, blue hat, collared dress, flats, pantyhose, puffy short sleeves, puffy sleeves, shoes, frills",15.01,13.55
413783,mizuhashi_parsee,11890,"blonde hair, green eyes, short hair, half updo, medium breasts, ponytail, hair between eyes","mizuhashi parsee, touhou","shirt, short sleeves, breasts, sash, skirt, socks",13.8,12.13
1471064,abigail_williams_(fate),11833,"blonde hair, blue eyes, long hair, parted bangs, small breasts, very long hair, red eyes, hair bun, flat chest","abigail williams (fate), fate/grand order, fate (series)","breasts, hat, swimsuit, bow, hair bow, black dress, dress, sleeves past fingers, sleeves past wrists",15.13,12.11
1270870,tenryuu_(kancolle),11764,"large breasts, purple hair, short hair, hair between eyes, yellow eyes","tenryuu (kancolle), kantai collection","breasts, black necktie, collared shirt, necktie, shirt, black gloves, gloves, skirt, thighhighs, dress shirt, sleeveless shirt, fur trim, jacket, pocket",22.68,20.58
1275715,fubuki_(kancolle),11752,"brown hair, green eyes, medium breasts, ponytail, sidelocks, hair between eyes, medium hair, black hair, short ponytail","fubuki (kancolle), kantai collection","breasts, neckerchief, pleated skirt, sailor collar, shirt, short sleeves, skirt, socks, school uniform, serafuku",15.35,13.9
1584981,shiroko_(blue_archive),11713,"ahoge, grey hair, hair between eyes, long hair, blue eyes, large breasts, sidelocks, mismatched pupils, very long hair","shiroko (blue archive), blue archive","black dress, breasts, dress, hair ornament, gloves, jacket, long sleeves, shirt, skirt",41.01,39.07
2040875,firefly_(honkai:_star_rail),11490,"gradient hair, green pupils, grey hair, hair between eyes, hair intakes, long hair, multicolored eyes, multicolored hair, pink eyes, large breasts","firefly (honkai: star rail), honkai: star rail, honkai (series)","bow, hair ribbon, hairband, long sleeves, ribbon, shirt, skirt, thighhighs, breasts, hair ornament, dress, neckerchief, jacket",17.48,16.16
10365,cloud_strife,11384,"blonde hair, short hair, blue eyes, spiked hair, hair between eyes","cloud strife, final fantasy, final fantasy vii, final fantasy vii remake, final fantasy vii advent children","armor, boots, pants, earrings, sleeveless turtleneck, turtleneck, shirt, black gloves, gloves",3.67,3.15
1639113,shigure_kai_ni_(kancolle),11269,"blue eyes, braid, brown hair, hair flaps, hair over shoulder, single braid, long hair, ahoge, black hair, medium breasts","shigure kai ni (kancolle), kantai collection","hair ornament, neckerchief, pleated skirt, school uniform, serafuku, skirt, sailor collar, shirt, black gloves, gloves, breasts",18.89,17.4
699794,nanami_chiaki,11265,"brown hair, medium hair, pink eyes, flipped hair, large breasts","nanami chiaki, danganronpa (series), danganronpa 2: goodbye despair, galaga","breasts, thighhighs, hood, jacket, pleated skirt, shirt, skirt, collared shirt, dress shirt, hair ornament, long sleeves, neck ribbon, open clothes, ribbon",7.36,6.92
408655,kasane_teto,11177,"drill hair, red eyes, red hair, twin drills, ahoge, hair between eyes","kasane teto, utau, synthesizer v","hair ribbon, ribbon, shirt, skirt, boots, bow, buttons, hair bow, jacket, long sleeves, double-breasted, layered sleeves, collared shirt, detached sleeves, sleeveless shirt",11.09,10.2
1599785,aether_(genshin_impact),11045,"ahoge, blonde hair, braid, hair between eyes, long hair, yellow eyes","aether (genshin impact), genshin impact","armor, black gloves, gloves, hair ornament, pants, shirt, short sleeves, earrings",15.07,14.2
1964798,furina_(genshin_impact),10824,"blue eyes, blue hair, hair between eyes, heterochromia, multicolored hair, streaked hair, two-tone hair, symbol-shaped pupils, white hair, long hair, ahoge, short hair, mismatched pupils","furina (genshin impact), genshin impact","black gloves, blue hat, brooch, gloves, hat, jacket, shorts, breasts, ascot, white gloves, long sleeves, bow, gem",38.56,36.9
1733099,yae_miko,10679,"large breasts, pink hair, purple eyes, long hair, very long hair, hair between eyes","yae miko, genshin impact","breasts, hair ornament, wide sleeves, detached sleeves, long sleeves, nontraditional miko, japanese clothes, earrings, shirt",52.13,49.69
1978860,2b_(nier:automata),10595,"blue eyes, large breasts, short hair, white hair, grey hair, medium breasts","2b (nier:automata), nier:automata, nier (series)","breasts, black gloves, blindfold, gloves, leotard, thighhighs, hairband, clothing cutout, black dress, boots, dress, feather-trimmed sleeves, juliet sleeves, long sleeves, puffy sleeves, thigh boots",40.51,37.12
1433170,nero_claudius_(fate),10472,"ahoge, blonde hair, short hair, green eyes, hair intakes, large breasts, long hair, braid, hair bun, red eyes, tail, hair between eyes","nero claudius (fate), fate/grand order, fate (series), fate/extra","breasts, gloves, bikini, swimsuit, dress, ribbon, long sleeves, puffy sleeves, hair ribbon, red dress",30.54,28.2
9466,suzumiya_haruhi,10440,"brown hair, medium breasts, short hair, brown eyes, medium hair, large breasts","suzumiya haruhi, suzumiya haruhi no yuuutsu","breasts, hair ribbon, hairband, ribbon, shirt, long sleeves, sailor collar, school uniform, skirt, serafuku, collarbone",21.95,19.31
1275711,akatsuki_(kancolle),10436,"blue eyes, long hair, purple hair, black hair, hair between eyes, purple eyes","akatsuki (kancolle), kantai collection","black hat, hat, long sleeves, neckerchief, pantyhose, pleated skirt, sailor collar, shirt, skirt, school uniform, serafuku, panties",17.14,15.55
638495,toyosatomimi_no_miko,10420,"blonde hair, hair between eyes, medium hair, pointy hair, short hair, yellow eyes, brown hair, brown eyes","toyosatomimi no miko, touhou","breasts, cape, dress, earmuffs, bracelet, shirt, skirt, sleeveless shirt, neck ribbon, ribbon, high collar, sailor collar",14.77,13.35
